Name,Region,Municipality,URL,Latitude,Longitude
Θάσος Πόλη/Λιμανάκι,Π.Ε. ΘΑΣΟΥ [5],Δήμος Θάσου,,,
Μακρύαμμος,Π.Ε. ΘΑΣΟΥ [5],Δήμος Θάσου,,40.770521,24.7248198
Πευκάρι 2/Alexandra Beach,Π.Ε. ΘΑΣΟΥ [5],Δήμος Θάσου,,,
Πρίνος Δασύλιο 2/Ilio Mare Beach,Π.Ε. ΘΑΣΟΥ [5],Δήμος Θάσου,,,
Χρυσή Αμμουδιά/Golden Beach Camping,Π.Ε. ΘΑΣΟΥ [5],Δήμος Θάσου,,,
Ασπροβάλτα,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,40.722262,23.707208
Νέα Βρασνά,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,40.7076405,23.7001589
Παραλία Βρασνών,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,40.6903309,23.6940579
Πόρτο Φίνο,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,,
Σερραϊκή Ακτή,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,40.7445934,23.7283117
Σταυρός Ανατολική,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,,
Σταυρός Δυτική,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,,
Σταυρός Κεντρική,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Βόλβης,,,
Αγ. Τριάδα/ΠΙΚΠΑ,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Θερμαϊκού,,,
Μηχανιώνα-Τουρμπαλί,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Θερμαϊκού,,,
Νέοι Επιβάτες,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Θερμαϊκού,,40.5006773,22.9095066
Περαία-Κοχύλι,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Θερμαϊκού,,,
Περαία-Πλατεία Μνήμης,Π.Ε. ΘΕΣΣΑΛΟΝΙΚΗΣ [13],Δήμος Θερμαϊκού,,,
Αγ. Παύλος/Alexandros Palace Hotel,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,,
Αλυκές,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3203957,23.9154751
Ιερισσός/ Δημοτική 1,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.4058759,23.8742516
Ιερισσός/ Δημοτική 2,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.4025156,23.8785323
Ιερισσός/ Δημοτική 3,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3996084,23.8825407
Κάμπος,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3508288,23.7311597
Καμπούδι 1/Ακτή Ουρανούπολη,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3472721,23.9624083
Καμπούδι 2/Θεοξένια,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3461918,23.9639274
Καμπούδι 3/Άκραθως,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,,
Κομίτσα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3775759,23.9647058
Mount Athos Ιερισσού,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,,
Νέα Ρόδα 2,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3815557,23.9234575
Ολυμπιάδα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.5914415,23.7832144
Ουρανούπολη 2/Eagles Palace,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,,
Ουρανούπολη 3/Aristoteles,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,40.3482657,23.9609858
Πόρτο Άγιο/Agionissi Resort,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Αριστοτέλη,,,
Αρμενιστής,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.1577238,23.9157698
Ελαιών,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,,
Ελιά 2/Anthemus,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,,
Ελιά/Acrotel,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.1491136,23.731586
Καλογριάς,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.1766426,23.7154694
Λαγομάνδρα/Lagomandra Beach Hotel,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.1367778,23.7472714
Λιβροχιό 1,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.2388815,23.7233463
Μακριά Λαγκάδα/Porfi Beach,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,,
Μαρμαράς,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.3465437,23.6820753
Νικήτη 2,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.2481387,23.6938331
Παράδεισος,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.1029165,23.7769865
Πλατανίτσι,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.1175839,23.9762954
Πόρτο Καρράς 1/Κόχη,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,,
Πόρτο Καρράς 2/Σιθωνία Μελίτων,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,,
Σαλονικιού,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.2964092,23.6944168
Σάρτι 1,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.0950542,23.9783591
Συκιά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,40.0387857,23.9417027
Τορώνη,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Σιθωνίας,,39.9845242,23.9048217
Γερακινή,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,40.279738,23.4443034
Γερακινή/Ikos Olivia,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,,
Καλύβες,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,40.2858445,23.3893177
Μεταμόρφωση,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,40.2290166,23.6036729
Σαργκάνι/Blue Dolphin,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,,
Ψακούδια Ανατολικά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,,
Ψακούδια Δυτικά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Πολυγύρου,,,
Άθυτος/Afitis Hotel,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Άθυτος/Βάρκες,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Ελάνη,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,40.0500727,23.3522496
Καλλιθέα/Άμμων Ζευς,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Καλλιθέα-Δημοτικό Αναψυκτήριο,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Κάνιστρο/Miraggio,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Κοινοτική Πλαζ Νέας Σκιώνης,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Κρυοπηγή 2/Alexander Τhe Great Beach Hotel,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Κρυοπηγή 4/Kassandra Palace,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Κρυοπηγή Δημοτικό Αναψυκτήριο,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Λουτρά Αγίας Παρασκευής,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Μένδη Καλάνδρα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,39.9637835,23.4222847
Μόλα Καλύβα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Παλιούρι Κάνιστρο,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Πευκοχώρι Yalla-Flegra,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,39.9881766,23.62394
Πευκοχώρι-Fyki Beach,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Πολύχρονο 3,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,40.0155467,23.5299035
Πολύχρονο/Azur Hotel,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Πολύχρονο-Cocones Beach,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Ποσείδι/Possidi Holidays Resort,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Ποσείδι Pohonda,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Ποσείδι Κέντρο,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Ποσείδι/Cocus,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Ποσείδι-Αιγαιοπελαγήτικα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Σάνη 2/Sani Beach,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Σάνη 3/Sani Club,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Σάνη Αστερίας,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Sani Dunes,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,40.0963701,23.3136091
Σίβηρη Κέντρο,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Φούρκα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,40.0055027,23.4153051
Χανιώτη 1,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,40.0010968,23.5751885
Χανιώτη 3/Domes Noruz Kassandra,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Κασσάνδρας,,,
Βεργιά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2918367,23.134625
Γεωπονικά-Μυκονιάτικα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.3033523,23.1051721
Διονυσίου,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2745217,23.2716286
Ελαιώνας/Ikos Oceania,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Μουριές,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2511311,23.2362475
Νέα Ηράκλεια,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.3462146,23.0151713
Νέα Ηράκλεια-Σαχάρα,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Νέα Καλλικράτεια,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.3106575,23.0628792
Νέα Μουδανιά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.239881,23.2853943
Νέα Πλάγια,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2647455,23.2020512
Νέα Ποτίδαια Προποντίδας,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.1943084,23.3278856
Νέα Ποτίδαια/Portes Beach,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Νέα Ποτίδαια-Ανατολικά Διώρυγας Τορωναίου,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Πορταριά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2841119,23.2958533
Πόρτες/Portes Lithos,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2178181,23.3170998
Ρόα/Pomegranate Wellness Spa & Potidea Palace,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Σωζόπολη Κέντρο,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Σωζόπολη/Ναυτίλος,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,,
Τρίγλια,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.3058387,23.207498
Φλογητά,Π.Ε. ΧΑΛΚΙΔΙΚΗΣ [93],Δήμος Νέας Προποντίδας,,40.2599201,23.2214367
Καλλιθέα,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Κατερίνης,,40.2744058,22.5776634
Καλλιθέα/Mediterranean Village,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Κατερίνης,,,
Κορινός,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Κατερίνης,,40.315468,22.5880359
Ολυμπιακή Ακτή,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Κατερίνης,,40.2402326,22.5849354
Παραλία,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Κατερίνης,,40.2676999,22.5965157
Περίσταση,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Κατερίνης,,40.2749609,22.5420459
Βαρικό,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,,
Λεπτοκαρυά,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,40.0591805,22.5638631
Λεπτοκαρυά 2,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,40.0591805,22.5638631
Λιτόχωρο,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,40.1024494,22.5018169
Νέοι Πόροι,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,39.9761052,22.6383557
Ν.Παντελεήμονας-Σκοτίνα,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,,
Ν.Παντελεήμονας-Σκοτίνα 2,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,,
Πλάκα,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,40.0967712,22.5553839
Πλαταμώνας,Π.Ε. ΠΙΕΡΙΑΣ [15],Δήμος Δίου-Ολύμπου,,39.9925894,22.6233457
Νέα Μεσάγγαλα 1,Π.Ε. ΛΑΡΙΣΑΣ [3],Δήμος Τεμπών,,39.9510798,22.7078128
Νέα Μεσάγγαλα 2,Π.Ε. ΛΑΡΙΣΑΣ [3],Δήμος Τεμπών,,39.9510798,22.7078128
Νέα Μεσάγγαλα 3,Π.Ε. ΛΑΡΙΣΑΣ [3],Δήμος Τεμπών,,39.9510798,22.7078128
Αγριά/Valis Resort,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,,
Αλυκές,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.3388358,22.9283788
Αμαρυλλίδος,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,,
Αμφανών,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.3078899,22.9374694
Άναυρος,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.3656784,22.9708242
Θωμάς Σουτραλί Αγριάς,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,,
Καρνάγιο,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.3191835,23.0168187
Κριθαριά,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.2960162,22.90548
Νέα Αγχίαλος,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.280167,22.8186102
Πλάκες,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.2913688,22.903177
Πλατανίδια,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.3153139,23.0488044
Χρυσή Ακτή Παναγιάς,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Βόλου,,39.2885749,22.8573916
Αλμυρός,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Αλμυρού,,39.1807614,22.7609792
Αμαλιάπολη,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Αλμυρού,,39.1673122,22.8890096
Αχίλλειος,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Αλμυρού,,,
Λεύκη Πτελεού,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Αλμυρού,,,
Λουτρό Πτελεού,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Αλμυρού,,39.0337545,22.9648107
Νηες Σούρπης,Π.Ε. ΜΑΓΝΗΣΙΑΣ [18],Δήμος Αλμυρού,,39.1211794,22.9157281
Αγ. Παρασκευή-Πλατανιάς,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Αμπελάκια/Elivi,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Ασέληνος,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1733156,23.4249591
Αχλαδιές,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1469084,23.4639905
Βασιλιάς,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Βρομόλιμνος,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1365233,23.4461883
Γούρνες Ελιά,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Καναπίτσα,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1382555,23.4580441
Κουκουναριές,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1527351,23.4061208
Μάραθα/Skiathos Palace Hotel,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Μεγάλη Αμμος,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Μεγάλη Μπανάνα/Elivi,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,,
Μικρή Μπανάνα,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1467790, 23.3926055
Τζανεριά,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1395566,23.457533
Τρούλος,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκιάθου,,39.1400843,23.4205301
Αντρίνα/Adrina Beach,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκοπέλου,,,
Αντρίνα/Adrina Resort,Π.Ε. ΣΠΟΡΑΔΩΝ [17],Δήμος Σκοπέλου,,,
Γλύφα,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Στυλίδας,,38.9531109,22.9666015
Καμένα Βούρλα/Mitsis Galini,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Μώλου-Αγίου Κωνσταντίνου,,,
Βλυχάδα,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Λοκρών,,38.5827737,23.2987351
Λιβανάτες 1/Κυανή,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Λοκρών,,,
Λιβανάτες,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Λοκρών,,38.1447307, 24.0353823 
Λιβριχιό,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Λοκρών,,,
Σκάλα Αταλάντης,Π.Ε. ΦΘΙΩΤΙΔΑΣ [7],Δήμος Λοκρών,,38.6713704,23.0710584
Αγ. Νικόλαος,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.3489629,22.1593308
Βάθη,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.3361328,22.1921517
Γλυφάδα,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.3813831,22.0766602
Ερατεινή,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.3597968,22.2292598
Μαραθιάς,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.3942932,22.0175375
Μοναστηράκι,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.4071208,21.9444736
Σεργούλα,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.4151777,22.0569929
Σκάλωμα,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.4000582,21.9944881
Χιλιαδού,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δωρίδος,,38.3900228,21.9166085
Άγιοι Πάντες,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δελφών,,38.3680386,22.2950239
Βραχάκια,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δελφών,,38.4251898,22.4574099
Καλαφάτης,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δελφών,,38.385995,22.3755622
Μαϊάμι,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δελφών,,,
Τροκαντερό-Αγκάλη,Π.Ε. ΦΩΚΙΔΑΣ [14],Δήμος Δελφών,,,
Αγ. Ισίδωρος,Π.Ε. ΒΟΙΩΤΙΑΣ [2],Δήμος Διστόμου-Αράχοβας-Αντίκυρας,,38.3749589,22.6275245
Πλάκα Δηλεσίου,Π.Ε. ΒΟΙΩΤΙΑΣ [2],Δήμος Τανάγρας,,,
Αλυκές Δροσιάς,Π.Ε. ΕΥΒΟΙΑΣ [6],Δήμος Χαλκιδέων,,38.4984269,23.5325985
Αστέρια Χαλκίδας,Π.Ε. ΕΥΒΟΙΑΣ [6],Δήμος Χαλκιδέων,,38.4662968, 23.5878938
Λευκαντί,Π.Ε. ΕΥΒΟΙΑΣ [6],Δήμος Χαλκιδέων,,38.4113777,23.6755992
